Model,nFCC,nTCC
STM_v1_0.mat,948,958
e_coli_core.mat,8,8
iAB_RBC_283.mat,16,22
iAF1260.mat,850,859
iAF1260b.mat,834,845
iAF692.mat,206,207
iAF987.mat,445,446
iAM_Pb448.mat,233,233
iAM_Pc455.mat,224,224
iAM_Pf480.mat,222,222
iAM_Pk459.mat,223,229
iAM_Pv461.mat,222,222
iAPECO1_1312.mat,1067,1081
iB21_1397.mat,1091,1106
iBWG_1329.mat,1002,1016
iCN718.mat,392,393
iCN900.mat,926,926
iE2348C_1286.mat,1062,1076
iEC042_1314.mat,1070,1081
iEC1344_C.mat,1112,1121
iEC1349_Crooks.mat,1085,1096
iEC1356_Bl21DE3.mat,1090,1101
iEC1364_W.mat,991,1002
iEC1368_DH5a.mat,1086,1104
iEC1372_W3110.mat,964,980
iEC55989_1330.mat,1086,1100
iECABU_c1320.mat,1068,1082
iECBD_1354.mat,1097,1112
iECB_1328.mat,1088,1103
iECDH10B_1368.mat,1006,1020
iECDH1ME8569_1439.mat,1085,1099
iECD_1391.mat,1091,1106
iECED1_1282.mat,1062,1076
iECH74115_1262.mat,1058,1069
iECIAI1_1343.mat,1127,1144
iECIAI39_1322.mat,1152,1166
iECNA114_1301.mat,1062,1076
iECO103_1326.mat,1098,1116
iECO111_1330.mat,1109,1127
iECO26_1355.mat,1114,1132
iECOK1_1307.mat,1059,1073
iECP_1309.mat,1071,1085
iECS88_1305.mat,1076,1089
iECSE_1348.mat,1104,1122
iECSF_1327.mat,999,1013
iECSP_1301.mat,1066,1077
iECUMN_1333.mat,1083,1098
iECW_1372.mat,1114,1129
iECs_1301.mat,1074,1085
iEK1008.mat,333,337
iEKO11_1354.mat,1123,1138
iETEC_1333.mat,1098,1112
iEcDH1_1363.mat,1083,1097
iEcE24377_1341.mat,1108,1119
iEcHS_1320.mat,1108,1123
iEcSMS35_1347.mat,1073,1087
iEcolC_1368.mat,1115,1130
iG2583_1286.mat,1060,1071
iHN637.mat,261,261
iIS312.mat,287,295
iIS312_Amastigote.mat,311,319
iIS312_Epimastigote.mat,289,297
iIS312_Trypomastigote.mat,327,335
iIT341.mat,118,124
iJB785.mat,110,108
iJN1463.mat,1159,1162
iJN678.mat,188,189
iJO1366.mat,878,891
iJR904.mat,408,419
iLF82_1304.mat,1076,1090
iLJ478.mat,267,267
iML1515.mat,968,978
iMM904.mat,692,706
iND750.mat,635,640
iNF517.mat,241,247
iNJ661.mat,285,291
iNRG857_1313.mat,1060,1074
iPC815.mat,896,908
iSB619.mat,293,294
iSBO_1134.mat,1061,1074
iSDY_1059.mat,1037,1050
iSFV_1184.mat,1105,1122
iSF_1195.mat,1118,1133
iSFxv_1172.mat,1084,1099
iSSON_1240.mat,1092,1107
iS_1188.mat,1115,1126
iSbBS512_1146.mat,1051,1063
iSynCJ816.mat,256,257
iUMN146_1321.mat,1065,1079
iUMNK88_1353.mat,1112,1126
iUTI89_1310.mat,1063,1077
iWFL_1372.mat,1114,1129
iY75_1357.mat,1089,1103
iYL1228.mat,1039,1043
iYO844.mat,593,593
iYS1720.mat,983,995
iYS854.mat,526,529
iZ_1308.mat,1075,1086
ic_1306.mat,1070,1084
